Created,Name:: Name & Surname,Company Name:,Company Registration Number:,Industry,Province,Location of Head Office (address),Funding Ask (Amount):,City/Town,Type of Funding,Funding Requirements (what is the funding required for).,Annual Revenue Range 2023,Annual Revenue Range 2024,Actual Revenue 2025,Company Overview ,Existing number of employees ,Increase of jobs anticipated through the capital access,Number of Shareholders,What percentage of your business is owned by individuals aged 18 to 35? (Please select one),What percentage of your business is owned by women? (Please select one),What percentage of your business is under Black ownership? ,BEE Level,Area,What percentage of your business is owned by individuals living with a disability? (Please select one),Contact person Name and Surname,Email address:,Contact number:
2025-07-24 16:23:24,Vikash Jacobs,Karoo Agri,2015 / 787795 / 07,Healthcare & Biotechnology,Gauteng,"2041 Protea Lane, Witbank",40000__________,Witbank,Working Capital,"Funding is required for equipment, training and certification.",R501K to R1M,0 to R500K,1959___________,A tourism operator offering guided township and heritage tours,6.0,2.0,1,100%,0%,100%,Level 1,Urban,0%,Vikash Jacobs,VIKASHJACOBS@GMAIL.COM,+27 76 140 2739
2025-08-29 14:34:50,Chantelle Davids,Kopano Group,2023/499415/07 ,Agriculture - Secondary ,Limpopo,"1606 Voortrekker Lane, SPRINGS",780000_________,SPRINGS,Other (Please specify),"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,52071__________,A tourism operator offering guided township and heritage tours,4.0,3.0,2,0%,0%,50–74%,Level 1,Rural,0%,chantelle davids,chantelledavids448@mweb.co.za,+27625537798
2025-08-15 23:58:51,Themba Solomons,Blackwood Holdings (Pty) Ltd,2014/526296/07,Engineering & Construction,KZN,"1368 Buitenkant Lane, Roodepoort",670000_________,Roodepoort,Working Capital;Other (Please specify),Bridging finance while awaiting payment from government contracts,0 to R500K,R501K to R1M,555762_________,A tourism operator offering guided township and heritage tours,1.0,16.0,1,0%,0%,100%,Level 1,Township,75–99%,Themba Solomons,thembasolomons@icloud.com,+27611541675
2025-07-06 16:05:42,Mandla Fortuin ,Fortuin Services (Pty) Ltd ,2019/830274/07,Waste Management,Gauteng,"2397 Loop Way, CAPE TOWN",330000_________,CAPE TOWN ,Other (Please specify),"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,408420_________,We provide ICT support and cloud services to small businesses in the province.,1.0,6.0,4,0%,100%,100%,Level 1,Urban,0%,mandla fortuin,mandlafortuin@gmail.com,+27732760078
2025-08-19 16:42:58,Kavitha Moodley,Moodley Trading Group,2022/568982/07,NPO & NPC,Limpopo,"1580 Church Avenue, Soweto ",210000_________,Soweto,Debt & Equity,"Use of Funds
1.	Equipment purchase
2.	Staff expansion
3.	Marketing
",0 to R500K,0 to R500K,82369__________,A tourism operator offering guided township and heritage tours,2.0,1.0,4,0%,50–74%,0%,Level 1,Township,0%,Kavitha Moodley,kavithamoodley@webmail.co.za,+27 82 927 2959
2025-07-19 13:31:22,Fatima Nel,Sizani Consulting,2019/432995/07,Waste Management,Western Cape,"2985 Mandela Road, Klerksdorp ",1800000________,Klerksdorp,Working Capital,To increase production and take on larger supply contracts ,0 to R500K,R501K to R1M,599556_________,,2.0,1.0,1,100%,100%,0%,Level 1,Urban,0%,Fatima Nel,fatimanel961@outlook.com,0747493132
2025-06-28 20:46:39,Kgomotso Govender ,Beacon Group Group,,Business Services (Agency & Consultancy),Gauteng,"1218 Main Way, Potchefstroom",3940000________,Potchefstroom,Working Capital;Other (Please specify),Purchase of a delivery vehicle and cold storage unit,0 to R500K,R501K to R1M,0______________,We run a driving school and provide learner licence training.,4.0,3.0,3,0%,100%,100%,Level 1,Township,0%,kgomotso govender,kgomotsogovender@gmail.com,+27818891425
2025-09-11 00:48:04,Jaco Sibeko,Umlambo Manufacturing CC,2023 / 396951 / 07 ,,Gauteng,"355 Rivonia Way, kimberley",2840000________,kimberley,,Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,473038_________,A tourism operator offering guided township and heritage tours,2.0,6.0,4,100%,0%,100%,Level 1,Rural,0%,Jaco Sibeko,jacosibeko@gmail.com,+27635368953
2025-09-15 04:45:27,Rukaya Coetzee,Coetzee Projects CC,2023/641990/07,Transportation and Logistics,Western Cape,"3143 Biko Road, klerksdorp ",30000__________,klerksdorp,Working Capital,Operational funding ,0 to R500K,0 to R500K,17482__________,A family-run bakery supplying schools and local retailers. ,15.0,3.0,4,0%,0%,100%,Level 1,Township,0%,Rukaya Coetzee,rukayacoetzee@gmail.com,+27814068142
2025-08-21 07:08:00,Francois Hendricks,Baobab Civils CC,2009/180141/07 ,Financial Services,Limpopo,"3135 Long Crescent, Bloemfontein ",360000_________,Bloemfontein ,Invoice Financing;Working Capital,Expansion into a second branch and hiring of staff ,0 to R500K,0 to R500K,0______________,Solar installation business serving residential and small commercial clients ,5.0,7.0,6,0%,25–49%,100%,Level 1,Urban,0%,Francois Hendricks,francoishendricks@gmail.com,0796090211
2025-08-15 02:38:51,Sizwe Adams,Adams Manufacturing ,2021/588807/07,Information & Communication Technology,Eastern Cape,"667 Jakaranda Road, Midrand",9_50000________,Midrand,Debt & Equity,Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,0______________,We manufacture and supply steel components to construction contractors.,8.0,2.0,6,0%,25–49%,0%,Level 1,Urban,0%,Sizwe Adams,sizweadams@mweb.co.za,+27680956910
2025-08-14 01:51:38,Busisiwe Zulu,Zulu Projects Pty Ltd,2008/748154/07,Information & Communication Technology,Western Cape,"2723 Protea Crescent, Nelspruit",12250000_______,Nelspruit,Debt;Working Capital,"Marketing, customer acquisition and website development ",R1 000 001 to R5M,R1 000 001 to R5M,0______________,We supply and install security systems and CCTV. ,5.0,12.0,2,100%,0%,100%,Level 1,Urban,0%,Busisiwe Zulu,busisiwezulu558@gmail.com,0874098806
2025-08-02 19:02:49,Francois Baloyi,Clear Water Transport (Pty) Ltd ,,Information & Communication Technology,Limpopo,"1429 Commissioner Drive, Cape Town",950000_________,Cape Town,Debt,Purchase of a delivery vehicle and cold storage unit,0 to R500K,R501K to R1M,632678_________,,7.0,4.0,5,50–74%,100%,100%,Level 3,Township,0%,francois baloyi,FRANCOISBALOYI@GMAIL.COM,+27716155983
2025-07-11 19:37:43,Musa Plessis,Summit Holdings,2017/658984/07,,KZN,"3075 Aloe Street, Tzaneen",200000_________,Tzaneen,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,0 to R500K,16958__________,A tourism operator offering guided township and heritage tours,10.0,6.0,2,100%,0%,100%,Level 1,Urban,0%,Musa Plessis,musaplessis@mweb.co.za,+27 65 229 1453
2025-08-05 15:15:01,Lwazi Ntuli ,Redline Logistics,2024/598917/07,Agriculture - Primary ,Western Cape,"1165 Tambo Crescent, Tembisa",280000_________,Tembisa ,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",R501K to R1M,R501K to R1M,918186_________,We supply and install security systems and CCTV. ,6.0,16.0,1,100%,0%,100%,Level 1,Urban,0%,Lwazi Ntuli,lwazintuli@gmail.com,+27736799973
2025-08-02 05:24:45,Elmarie Fortuin,Ikhaya Media Group ,2008/316208/07,Retail & Wholesale,Gauteng,"2342 Kruger Street, Port Elizabeth",110000_________,Port Elizabeth ,Debt & Equity,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,140736_________,We provide ICT support and cloud services to small businesses in the province.,2.0,4.0,10,100%,1–24%,100%,Level 1,Rural,0%,elmarie fortuin,elmariefortuin@mweb.co.za,+27714655562
2025-07-02 14:17:54,Ashraf Ngcobo ,Ngcobo Projects,2020/689962/07,Retail & Wholesale,Western Cape,"2523 Jan Smuts Drive, Kimberley ",9780000________,Kimberley,Other (Please specify),To grow the business ,R1 000 001 to R5M,R1 000 001 to R5M,2444542________,,4.0,34.0,3,0%,0%,100%,Level 1,Urban,1–24%,Ashraf Ngcobo,ashrafngcobo190@gmail.com,+27 85 107 4537
2025-08-27 12:21:12,Ashraf Mnisi,Mnisi Solutions (Pty) Ltd,2022/175622/07,Transportation and Logistics,Gauteng,"2030 Rivonia Way, Randburg",10000__________,Randburg,Purchase Order Funding;Working Capital,To buy additional equipment and expand production capacity,0 to R500K,0 to R500K,4068___________,Civil engineering contractor focused on roads and stormwater projects ,2.0,1.0,1,100%,0%,100%,Level 3,Urban,0%,Ashraf Mnisi,ashrafmnisi@webmail.co.za,084 879 8237
2025-09-06 21:11:19,Ashwin Wyk,Wyk Construction (Pty) Ltd ,2018/902025/07 ,Retail & Wholesale,Gauteng,"2945 Rivonia Way, PIETERMARITZBURG",250000_________,PIETERMARITZBURG,Working Capital,To buy additional equipment and expand production capacity,0 to R500K,0 to R500K,4475___________,Logistics company transporting goods between major metros. ,0.8,3.0,4,0%,50–74%,100%,Level 1,Urban,0%,Ashwin Wyk,ashwinwyk@gmail.com,+27761852339
2025-09-07 21:24:28,Ntando Steyn,Steyn Construction,2009/390749/07,NPO & NPC,Mpumalanga,"2753 Acacia Lane, Khayelitsha",310000_________,Khayelitsha ,Working Capital,Stock purchase and general operational funding ,0 to R500K,0 to R500K,0______________,We supply and install security systems and CCTV. ,8.0,5.0,1,0%,100%,100%,Level 1,Rural,0%,Ntando Steyn,ntandosteyn223@yahoo.com,+27 75 939 5089
2025-07-10 07:05:46,Themba Cele,Cele Foods Group ,2010/932292/07,,Western Cape,"2652 Protea Crescent, Benoni",9580000________,Benoni,,"Funding is required for equipment, training and certification.",0 to R500K,R501K to R1M,0______________,,,5.0,1,100%,0%,100%,Level 4,Rural,0%,Themba Cele,thembacele@webmail.co.za,+27 62 732 5983
2025-07-22 23:59:21,Kagiso Mabena ,Iron Gate Construction,2014/975996/07,Hospitality,Gauteng,"2746 Kingfisher Lane, Soweto",3420000________,Soweto ,,Bridging finance while awaiting payment from government contracts,R5 000 001 to R10M,R5 000 001 to R10M,4278215________,We supply and install security systems and CCTV. ,11.0,20.0,,100%,100%,100%,Level 1,Urban,0%,kagiso mabena,kagisomabena@mweb.co.za,+27880612407
2025-07-27 16:04:33,Riaan Solomons,Solomons Distributors,2018/177688/07,Manufacturing,Eastern Cape,"2822 Pretorius Crescent, Tzaneen",11160000_______,Tzaneen ,Debt;Purchase Order Funding,"Marketing, customer acquisition and website development ",0 to R500K,R501K to R1M,471891_________,Civil engineering contractor focused on roads and stormwater projects ,,30.0,1,0%,100%,100%,Level 1,Urban,0%,Riaan Solomons,riaansolomons@mweb.co.za,+27 68 357 9619
2025-08-12 03:09:45,Elmarie Adams,Adams Holdings (Pty) Ltd,2020/892377/07,Manufacturing,Western Cape,"3120 Long Avenue, Benoni ",1520000________,Benoni,Debt;Purchase Order Funding,Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,379645_________,A tourism operator offering guided township and heritage tours,0.0,1.0,Adams Holdings (Pty) Ltd,0%,25–49%,100%,Level 1,Township,75–99%,Elmarie Adams,elmarieadams@gmail.com,+27 73 061 8392
2025-08-21 01:38:19,Nandi Dlamini ,Umlambo Construction CC,2018/888016/07,Information & Communication Technology,Gauteng,"3142 Kruger Avenue, witbank",140000_________,witbank,Equity;Working Capital,Stock purchase and general operational funding ,0 to R500K,0 to R500K,0______________,We supply and install security systems and CCTV. ,4.0,5.0,4,0%,0%,1–24%,Level 1,Urban,0%,Nandi Dlamini,nandidlamini@gmail.com,0873854780
2025-07-27 03:53:04,Katlego Naidoo,Greenfield Investments ,2025/725781/07 ,Retail & Wholesale,Limpopo,"621 Biko Drive, cape town ",40000__________,cape town,Debt & Equity;Working Capital,Expansion into a second branch and hiring of staff ,0 to R500K,0 to R500K,36950__________,,,10.0,4,0%,100%,100%,Level 1,Rural,0%,Katlego Naidoo,katlegonaidoo@gmail.com,+27736540438
2025-07-25 23:16:39,Tariq Ngcobo,Lesedi Consulting ,2014/371417/07,Information & Communication Technology,Western Cape,"2634 Voortrekker Lane, Richards Bay ",300000_________,Richards Bay,Debt;Working Capital,Stock purchase and general operational funding ,0 to R500K,0 to R500K,148152_________,Civil engineering contractor focused on roads and stormwater projects ,2.0,2.0,3,100%,0%,100%,Level 1,Township,0%,tariq ngcobo,tariqngcobo@icloud.com,+27 86 580 7783
2025-09-01 08:07:42,Imran Tshabalala ,Baobab Logistics ,2015/192710/07 ,Retail & Wholesale,Gauteng,"378 Main Avenue, Witbank",240000_________,Witbank,Equity,"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,97297__________,A tourism operator offering guided township and heritage tours,1.0,2.0,1,25–49%,0%,100%,Level 3,Urban,0%,imran tshabalala,imrantshabalala@gmail.com,+27690050602
2025-07-16 17:30:07,Hendrik Mabaso,Beacon Distributors ,2021/881179/07,Hospitality,Limpopo,"224 Loop Road, Springs",880000_________,Springs,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",R1 000 001 to R5M,R501K to R1M,730997_________,,6.0,3.0,1,100%,0%,50–74%,Level 1,Township,0%,Hendrik Mabaso,hendrikmabaso@gmail.com,+27641865229
2025-08-03 04:36:29,Shireen Khumalo,Khumalo Transport Pty Ltd,2017/267559/07 ,Retail & Wholesale,Gauteng,"2141 Rissik Crescent, Randburg",240000_________,Randburg,Equity,Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,94789__________,We design and sew corporate uniforms and protective clothing.,24.0,0.43,4,100%,100%,100%,Level 1,Urban,0%,shireen khumalo,SHIREENKHUMALO@GMAIL.COM,+27687033831
2025-07-06 18:39:51,Nisha Govender ,Sunrise Group CC,2012 / 929913 / 07,Agriculture - Primary ,Eastern Cape,"1362 Jan Smuts Crescent, UITENHAGE",14460000_______,UITENHAGE,Working Capital;Other (Please specify),Stock purchase and general operational funding ,R10 000 001 to R20M,R10 000 001 to R20M,100 000 ,We supply and install security systems and CCTV. ,8.0,5.0,1,25–49%,100%,100%,Level 2,Township,0%,Nisha Govender,nishagovender@gmail.com,+27869394045
2025-07-11 03:24:04,Thulani Molefe,Apex Media (Pty) Ltd,2025/495746/07,Hospitality,KZN,"3082 Commissioner Road, khayelitsha",31220000_______,khayelitsha,Working Capital,To buy additional equipment and expand production capacity,0 to R500K,R501K to R1M,762277_________,We grow and pack vegetables for regional wholesalers and retailers.,46.0,5.0,6,0%,100%,100%,Level 1,Urban,0%,Thulani Molefe,thulanimolefe@icloud.com,+27760138227
2025-07-19 21:34:42,Thulani Maluleke,Fynbos Construction ,2011/726572/07,Transportation and Logistics,Eastern Cape,"1359 Jakaranda Drive, Uitenhage ",1740000________,Uitenhage,Equity,"Funding is required for equipment, training and certification.",0 to R500K,R1 000 001 to R5M,0______________,We grow and pack vegetables for regional wholesalers and retailers.,8.0,20.0,2,0%,50–74%,100%,Level 1,Urban,0%,Thulani Maluleke,thulanimaluleke@yahoo.com,+27 84 830 1266
2025-07-27 08:32:08,Ashwin Pillay,Silver Oak Trading Group,2017/397428/07,Manufacturing,Limpopo,"2186 Kingfisher Street, Sasolburg ",154390000______,Sasolburg,Debt & Equity,To grow the business ,R10 000 001 to R20M,R10 000 001 to R20M,11060475_______,A family-run bakery supplying schools and local retailers. ,4.0,12.0,6,0%,100%,50–74%,Level 1,Rural,0%,ashwin pillay,ashwinpillay285@webmail.co.za,+27777248727
2025-08-25 23:51:44,Sibusiso Petersen ,Vertex Logistics ,2014/421070/07 ,Hospitality,Western Cape,"1502 Church Avenue, EAST LONDON",410000_________,EAST LONDON,Purchase Order Funding;Working Capital,Stock purchase and general operational funding ,0 to R500K,R501K to R1M,678269_________,Commercial cleaning and hygiene services for offices and factories ,3.0,4.0,6,100%,50–74%,100%,Level 1,Urban,0%,Sibusiso Petersen,sibusisopetersen@icloud.com,+27671947519
2025-07-31 13:01:36,Zanele Chetty ,Oakridge Trading,2018/732450/07,Energy,Gauteng,"2684 Jan Smuts Way, Port Elizabeth",750000_________,Port Elizabeth,Working Capital,To increase production and take on larger supply contracts ,0 to R500K,R501K to R1M,745935_________,A family-run bakery supplying schools and local retailers. ,1.0,1.0,10,0%,1–24%,100%,Level 1,Urban,0%,Zanele Chetty,zanelechetty@gmail.com,+27696173532
2025-08-15 17:40:49,Ashraf Sibeko,Sibeko Civils CC,2016/690997/07,Automotive,Western Cape,"1250 Umgeni Avenue, MIDRAND ",3560000________,MIDRAND,Working Capital,"Funding is required for equipment, training and certification.",0 to R500K,R501K to R1M,593405_________,We recycle plastic waste and sell processed pellets to manufacturers.,8.0,4.0,1,0%,0%,100%,Level 1,Urban,0%,Ashraf Sibeko,ashrafsibeko718@gmail.com,+27820257781
2025-07-04 13:40:54,Annelie Motaung ,Motaung Construction CC ,2020/399428/07,Waste Management,Limpopo,"2139 Commissioner Road, Johannesburg",280000_________,Johannesburg ,Debt;Working Capital,To upgrade our machinery and improve turnaround times.,0 to R500K,R501K to R1M,555747_________,We grow and pack vegetables for regional wholesalers and retailers.,3.0,18.0,1,0%,0%,100%,Level 1,Rural,0%,Annelie Motaung,anneliemotaung@gmail.com,075 289 1998
2025-07-11 22:35:44,Hendrik Sithole ,SITHOLE ENGINEERING ,2009 / 558777 / 07,Manufacturing,Western Cape,"2487 Rivonia Street, Kimberley ",40000__________,Kimberley,Purchase Order Funding,Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,8933___________,Commercial cleaning and hygiene services for offices and factories ,10.0,10.0,1,1–24%,0%,100%,Level 1,Urban,0%,Hendrik Sithole,hendriksithole@outlook.com,+27 75 951 0545
2025-08-19 18:38:35,Annelie Petersen ,Greenfield Trading,2009/303736/07 ,Financial Services,Gauteng,"2841 Rissik Crescent, Richards Bay ",200000_________,Richards Bay,Working Capital;Other (Please specify),"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,0 to R500K,49162__________,Logistics company transporting goods between major metros. ,4.0,11.0,10,0%,50–74%,100%,Level 1,Urban,0%,Annelie Petersen,anneliepetersen200@outlook.com,081 489 3475
2025-09-23 00:09:11,Priya Isaacs,Isaacs Enterprises,2020/277708/07,Engineering & Construction,Gauteng,"1675 Jan Smuts Way, Klerksdorp",11160000_______,Klerksdorp,Debt,"Raw materials, tooling and factory rental for the next 12 months",R1 000 001 to R5M,R5 000 001 to R10M,7439485________,Catering and events business servicing corporate functions.,14.0,5.0,2,100%,0%,100%,Level 1,Township,0%,Priya Isaacs,priyaisaacs523@mweb.co.za,+27799819404
2025-07-14 19:32:56,Busisiwe Reddy,Blackwood Foods (Pty) Ltd ,2013/867040/07,Agriculture - Primary ,Mpumalanga,"2459 Voortrekker Crescent, Sasolburg",940000_________,Sasolburg ,Debt & Equity;Working Capital,To buy additional equipment and expand production capacity,0 to R500K,R501K to R1M,626970_________,We recycle plastic waste and sell processed pellets to manufacturers.,13.0,22.0,3,0%,0%,100%,Level 8,Township,0%,Busisiwe Reddy,busisiwereddy@mweb.co.za,062 373 6502
2025-08-23 15:58:55,Tshepo Shabalala,Shabalala Construction,2024/517553/07 ,Manufacturing,Mpumalanga,"2327 Jakaranda Street, Bloemfontein",60000__________,Bloemfontein,,"Purchase of farming implements, seed and irrigation infrastructure",0 to R500K,0 to R500K,113433_________,,1.0,,1,50–74%,100%,100%,Level 1,Urban,0%,Tshepo Shabalala,tsheposhabalala@gmail.com,+27747736230
2025-07-11 06:32:03,Musa Davids,Highveld Construction Group ,2017/175365/07,Manufacturing,Gauteng,"3195 Jan Smuts Avenue, RUSTENBURG ",43540000_______,,Invoice Financing;Working Capital,Stock purchase and general operational funding ,R1 000 001 to R5M,R1 000 001 to R5M,2831728________,Commercial cleaning and hygiene services for offices and factories ,21.0,1.0,5,1–24%,0%,0%,Level 1,Township,0%,Musa Davids,musadavids305@outlook.com,071 509 6993
2025-08-10 16:31:52,Nadia Hendricks,MARULA MANUFACTURING (PTY) LTD,2015/272991/07,Engineering & Construction,Limpopo,"2875 Biko Crescent, Port Elizabeth ",630000_________,Port Elizabeth,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,0 to R500K,422777_________,We design and sew corporate uniforms and protective clothing.,1.0,0.0,1,0%,0%,100%,Level 1,Rural,0%,Nadia Hendricks,nadiahendricks@gmail.com,+27718217234
2025-08-09 11:22:24,Thulani Zulu ,Zenzele Transport,2017/312610/07,Mining,Western Cape,"64 Long Drive, Tembisa",2120000________,Tembisa,Debt,To increase production and take on larger supply contracts ,0 to R500K,R501K to R1M,0______________,We supply and install security systems and CCTV. ,26.0,1.0,1,0%,0%,100%,Level 1,Township,0%,Thulani Zulu,thulanizulu@gmail.com,+27836005912
2025-06-27 10:15:33,Suzette Singh ,Singh Engineering (Pty) Ltd,2015/591090/07,Energy,KZN,"2559 Jan Smuts Crescent, EAST LONDON",250000_________,EAST LONDON ,Other (Please specify),"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,2439___________,Commercial cleaning and hygiene services for offices and factories ,,3.0,1,100%,100%,100%,Level 1,Rural,0%,suzette singh,suzettesingh@gmail.com,+27656642289
2025-07-14 02:17:26,Mpho Abrahams ,Ubuntu Distributors CC,,Education,Mpumalanga,"3005 Kruger Avenue, Polokwane ",78720000_______,,Equity,Operational funding ,R20 000 001 to R50M,Above R50M,39361046_______,Logistics company transporting goods between major metros. ,70.0,144.0,2,100%,50–74%,0%,Level 1,Urban,0%,mpho abrahams,mphoabrahams329@gmail.com,+27747451293
2025-06-30 15:31:06,Marlize Ndlovu,Ndlovu Agri (Pty) Ltd ,2020/553726/07,Hospitality,Western Cape,"269 Aloe Street, Emalahleni",250000_________,Emalahleni,Working Capital,To increase production and take on larger supply contracts ,0 to R500K,0 to R500K,396____________,We run a driving school and provide learner licence training.,2.0,3.0,4,100%,0%,100%,Level 2,Township,0%,Marlize Ndlovu,marlizendlovu288@outlook.com,+27 89 787 6620
2025-08-23 22:59:27,Tariq Wyk ,Fairview Manufacturing,202399409707 ,Hospitality,Limpopo,"441 Tambo Crescent, Sandton",7180000________,Sandton ,Debt & Equity,To buy additional equipment and expand production capacity,0 to R500K,0 to R500K,296535_________,Commercial cleaning and hygiene services for offices and factories ,1.0,3.0,1,0%,100%,100%,Level 1,Urban,0%,tariq wyk,tariqwyk@yahoo.com,+27 61 425 1791
2025-06-26 08:20:11,Johan Khumalo ,Protea Investments,2012/200218/07,Automotive,Gauteng,"1154 Acacia Drive, Uitenhage",124430000______,Uitenhage ,Purchase Order Funding,To grow the business ,R20 000 001 to R50M,R20 000 001 to R50M,24886651_______,,54.0,14.0,10,100%,1–24%,100%,Level 1,Rural,0%,johan khumalo,johankhumalo@gmail.com,+27 79 582 4778
2025-08-13 00:29:52,Nomsa Ramaphakela,Fairview Services,2025/903496/07,Tourism,Gauteng,"542 Main Drive, Klerksdorp",80000__________,Klerksdorp,Working Capital;Other (Please specify),Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,12832__________,Commercial cleaning and hygiene services for offices and factories ,9.0,17.0,2,0%,100%,100%,Level 1,Rural,0%,nomsa ramaphakela,nomsaramaphakela995@gmail.com,+27 73 924 8416
